month,year,cover_url
December,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/December1995.jpg
November,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/November1995.jpg
October,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/October1995.jpg
September,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/September1995.jpg
August,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/August1995.jpg
July,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/July1995.jpg
June,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/June1995.jpg
May,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/May1995.jpg
April,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/April1995.jpg
March,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/March1995.jpg
February,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/February1995.jpg
January,1995,https://www.thrashermagazine.com//images/image/Covers Section/images/January1995.jpg
December,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/December1994.jpg
November,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/November1994.jpg
October,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/October1994.jpg
September,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/September1994.jpg
August,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/August1994.jpg
July,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/July1994.jpg
June,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/June1994.jpg
May,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/May1994.jpg
April,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/April1994.jpg
March,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/March1994.jpg
February,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/February1994.jpg
January,1994,https://www.thrashermagazine.com//images/image/Covers Section/images/January1994.jpg
December,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/December1993.jpg
November,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/November1993.jpg
October,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/October1993.jpg
September,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/September1993.jpg
August,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/August1993.jpg
July,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/July1993.jpg
June,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/June1993.jpg
May,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/May1993.jpg
April,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/April1993.jpg
March,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/March199.jpg
February,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/February1993.jpg
January,1993,https://www.thrashermagazine.com//images/image/Covers Section/images/January1993.jpg
December,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/December1992.jpg
